Authors,Year,Title,Journal/Book,Volume,Pages,Notes
"Abbott, LF",1992,Simple diagrammatic rules for solving dendritic cable problems,Physica A,185,343-356,
"Abbott, LF",1994,Decoding neuronal firing and modeling neural networks,Quarterly Review of Biophysics,27,291-331,
"Abbott, LF; Blum, KI",1996,Functional significance of long-term potentiation for sequence learning and prediction,Cerebral Cortex,6,406-416,
"Abbott, LF; Farhi, E; Gutmann, S",1991,The path integral for dendritic trees,Biological Cybernetics,66,49-60,
"Abbott, LF; Varela, JA; Sen, K; Nelson, SB",1997,Synaptic depression and cortical gain control,Science,275,220-224,
"Adelson, EH; Bergen, JR",1985,Spatiotemporal energy models for the perception of motion,Journal of the Optical Society of America,A2,284-299,
"Ahmed, B; Anderson, JC; Douglas, RJ; Martin, KAC; Whitterage, D",1998,Estimates of the net excitatory currents evoked by visual stimulation of identified neurons in cat visual cortex,Cerebral Cortex,8,462-476,
"Amari, S",1999,Natural gradient learning for over- and under-complete bases in ICA,Neural Computation,11,1875-1883,
"Amit, DJ",1989,Modeling Brain Function,,,,New York: Cambridge University Press
"Amit, DJ; Tsodyks, MV",1991,Quantitative study of attractor neural networks retrieving at low spike rates. I.,Network: Computation in Neural Systems,2,259-273,
"Amit, DJ; Tsodyks, MV",1991,Quantitative study of attractor neural networks retrieving at low spike rates. II.,Network: Computation in Neural Systems,2,275-294,
"Andersen, RA",1989,Visual and eye movement functions of posterior parietal cortex,Annual Review of Neuroscience,12,377-403,
"Atick, JJ",1992,Could information theory provide an ecological theory of sensory processing?,Network: Computation in Neural Systems,3,213-251,
"Atick, JJ; Li, Z; Redlich, AN",1992,Understanding retinal color coding from first principles,Neural Computation,4,559-572,
"Atick, JJ; Redlich, AN",1990,Towards a theory of early visual processing,Neural Computation,2,308-320,
"Atick, JJ; Redlich, AN",1993,Convergent algorithm for sensory receptive field development,Neural Computation,5,45-60,
"Baddeley, R; Abbott, LF; Booth, MJA; Sengpiel, F; Freeman, T; Wakeman, EA; Rolls, ET",1997,Responses of neurons in primary and interior temporal visual cortices to natural scenes,Proceedings of the Royal Society of London,B264,1775-1783,
"Bair, W; Koch, C",1996,Temporal precision of spike trains in extrastriate cortex of the behaving macaque monkey,Neural Computation,8,1185-1202,
"Bair, W; Koch, C; Newsome, WT; Britten, KH",1994,Power spectrum analysis of bursting cells in area MT in the behaving monkey,Journal of Neuroscience,14,2870-2892,
"Baldi, P; Heiligenberg, W",1988,How sensory maps could enhance resolution through ordered arrangements of broadly tuned receivers,Biological Cybernetics,59,313-318,
"Barlow, HB",1961,Possible principles underlying the transformation of sensory messages,,,,"In WA Rosenblith, ed., Sensory Communication. Cambridge, MA: MIT Press"
"Barlow, HB",1989,Unsupervised learning,Neural Computation,1,295-311,
"Barlow, HB; Levick, WR",1965,The mechanism of directionally selective units in the rabbit's retina,Journal of Physiology,193,327-342,
"Barto, AG; Duff, M",1994,Monte Carlo matrix inversion and reinforcement learning,,,598-605,In Advances in Neural Information Processing Systems 6
"Barto, AG; Sutton, RS; Anderson, CW",1983,Neuronlike elements that can solve difficult learning problems,"IEEE Transactions on Systems, Man, and Cybernetics",13,834-846,
"Barto, AG; Sutton, RS; Watkins, CJCH",1990,Learning and sequential decision making,,,539-602,"In Learning and Computational Neuroscience. Cambridge, MA: MIT Press"
"Battaglia, FP; Treves, A",1998,Attractor neural networks storing multiple space representations: A model for hippocampal place fields,Physical Review,E58,7738-7753,
"Baum, LE; Petrie, E; Soules, G; Weiss, N",1970,A maximization technique occurring in the statistical analysis of probabilistic functions of Markov chains,Annals of Mathematical Statistics,41,164-171,
"Bear, MF; Connors, BW; Paradiso, MA",1996,Neuroscience: Exploring the Brain,,,,Baltimore: Williams & Wilkins
"Becker, S; Hinton, GE",1992,A self-organizing neural network that discovers surfaces in random-dot stereograms,Nature,355,161-163,
"Becker, S; Plumbley, M",1996,Unsupervised neural network learning procedures for feature extraction and classification,International Journal of Applied Intelligence,6,185-203,
"Bell, AJ; Sejnowski, TJ",1995,An information maximisation approach to blind separation and blind deconvolution,Neural Computation,7,1129-1159,
"Bell, AJ; Sejnowski, TJ",1996,Learning the higher-order structure of a natural sound,Network: Computation in Neural Systems,7,261-267,
