Authors,Year,Title,Journal/Book,Volume,Pages,Notes,DOI
"Abbott, LF",1992,Simple diagrammatic rules for solving dendritic cable problems,Physica A,185,343-356,,10.1016/0378-4371(92)90474-5
"Abbott, LF",1994,Decoding neuronal firing and modeling neural networks,Quarterly Review of Biophysics,27,291-331,,10.1017/s0033583500003024
"Abbott, LF; Blum, KI",1996,Functional significance of long-term potentiation for sequence learning and prediction,Cerebral Cortex,6,406-416,,10.1093/cercor/6.3.406
"Abbott, LF; Farhi, E; Gutmann, S",1991,The path integral for dendritic trees,Biological Cybernetics,66,49-60,,10.1007/bf00196452
"Abbott, LF; Varela, JA; Sen, K; Nelson, SB",1997,Synaptic depression and cortical gain control,Science,275,220-224,,10.1126/science.275.5297.221
"Adelson, EH; Bergen, JR",1985,Spatiotemporal energy models for the perception of motion,Journal of the Optical Society of America,A2,284-299,,10.1364/josaa.2.000284
"Ahmed, B; Anderson, JC; Douglas, RJ; Martin, KAC; Whitterage, D",1998,Estimates of the net excitatory currents evoked by visual stimulation of identified neurons in cat visual cortex,Cerebral Cortex,8,462-476,,10.1093/cercor/8.5.462
"Amari, S",1999,Natural gradient learning for over- and under-complete bases in ICA,Neural Computation,11,1875-1883,,10.1162/089976699300015990
"Amit, DJ",1989,Modeling Brain Function,,,,New York: Cambridge University Press,10.1017/cbo9780511623257
"Amit, DJ; Tsodyks, MV",1991,Quantitative study of attractor neural networks retrieving at low spike rates. I.,Network: Computation in Neural Systems,2,259-273,,10.1088/0954-898x_2_3_004
"Amit, DJ; Tsodyks, MV",1991,Quantitative study of attractor neural networks retrieving at low spike rates. II.,Network: Computation in Neural Systems,2,275-294,,10.1088/0954-898x_2_3_004
"Andersen, RA",1989,Visual and eye movement functions of posterior parietal cortex,Annual Review of Neuroscience,12,377-403,,10.1146/annurev.neuro.12.1.377
"Atick, JJ",1992,Could information theory provide an ecological theory of sensory processing?,Network: Computation in Neural Systems,3,213-251,,10.1088/0954-898x_3_2_009
"Atick, JJ; Li, Z; Redlich, AN",1992,Understanding retinal color coding from first principles,Neural Computation,4,559-572,,10.1162/neco.1992.4.4.559
"Atick, JJ; Redlich, AN",1990,Towards a theory of early visual processing,Neural Computation,2,308-320,,10.1162/neco.1990.2.3.308
"Atick, JJ; Redlich, AN",1993,Convergent algorithm for sensory receptive field development,Neural Computation,5,45-60,,10.1162/neco.1993.5.1.45
"Baddeley, R; Abbott, LF; Booth, MJA; Sengpiel, F; Freeman, T; Wakeman, EA; Rolls, ET",1997,Responses of neurons in primary and interior temporal visual cortices to natural scenes,Proceedings of the Royal Society of London,B264,1775-1783,,10.1098/rspb.1997.0246
"Bair, W; Koch, C",1996,Temporal precision of spike trains in extrastriate cortex of the behaving macaque monkey,Neural Computation,8,1185-1202,,10.1162/neco.1996.8.6.1185
"Bair, W; Koch, C; Newsome, WT; Britten, KH",1994,Power spectrum analysis of bursting cells in area MT in the behaving monkey,Journal of Neuroscience,14,2870-2892,,10.1523/jneurosci.14-05-02870.1994
"Baldi, P; Heiligenberg, W",1988,How sensory maps could enhance resolution through ordered arrangements of broadly tuned receivers,Biological Cybernetics,59,313-318,,10.1007/bf00332921
